order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
2448310,1,96,AADI PLASTIC INDUSTRIES PVT LTD,11-07-2016,210,0
2448440,1,96,AADI PLASTIC INDUSTRIES PVT LTD,20-07-2016,210,0
2448485,1,96,AADI PLASTIC INDUSTRIES PVT LTD,24-07-2016,210,0
2448605,1,96,AADI PLASTIC INDUSTRIES PVT LTD,27-07-2016,210,0
2448661,1,96,AADI PLASTIC INDUSTRIES PVT LTD,29-07-2016,210,0
2450913,1,238,AADI PLASTIC INDUSTRIES PVT LTD,05-08-2016,440,0
2450934,1,238,AADI PLASTIC INDUSTRIES PVT LTD,07-08-2016,440,0
2451044,1,238,AADI PLASTIC INDUSTRIES PVT LTD,12-08-2016,440,0
2451083,1,238,AADI PLASTIC INDUSTRIES PVT LTD,16-08-2016,440,0
2451091,1,238,AADI PLASTIC INDUSTRIES PVT LTD,17-08-2016,440,0
2451092,1,238,AADI PLASTIC INDUSTRIES PVT LTD,17-08-2016,440,0
2451134,1,238,AADI PLASTIC INDUSTRIES PVT LTD,19-08-2016,440,0
2451157,1,238,AADI PLASTIC INDUSTRIES PVT LTD,21-08-2016,440,0
2451158,1,238,AADI PLASTIC INDUSTRIES PVT LTD,21-08-2016,440,0
2451180,2,238,AADI PLASTIC INDUSTRIES PVT LTD,22-08-2016,440,0
2442950,1,375,AADI PLASTIC INDUSTRIES PVT LTD,04-09-2016,660,0
2442951,1,375,AADI PLASTIC INDUSTRIES PVT LTD,04-09-2016,660,0
2463818,1,375,AADI PLASTIC INDUSTRIES PVT LTD,13-09-2016,660,0
2463851,1,375,AADI PLASTIC INDUSTRIES PVT LTD,15-09-2016,660,0
2463859,1,375,AADI PLASTIC INDUSTRIES PVT LTD,15-09-2016,660,0
2463860,1,375,AADI PLASTIC INDUSTRIES PVT LTD,15-09-2016,660,0
2463975,1,375,AADI PLASTIC INDUSTRIES PVT LTD,18-09-2016,660,0
2464025,1,375,AADI PLASTIC INDUSTRIES PVT LTD,23-09-2016,660,0
2464035,1,375,AADI PLASTIC INDUSTRIES PVT LTD,25-09-2016,660,0
2464059,1,375,AADI PLASTIC INDUSTRIES PVT LTD,26-09-2016,660,0
2463932,1,375,AADI PLASTIC INDUSTRIES PVT LTD,29-09-2016,660,0
2463933,1,375,AADI PLASTIC INDUSTRIES PVT LTD,29-09-2016,660,0
2463934,1,375,AADI PLASTIC INDUSTRIES PVT LTD,29-09-2016,660,0
21212121,1,483,AADI PLASTIC INDUSTRIES PVT LTD,13-03-2018,10,0
